Type,NAME,BW logo URL,White on Black,Theme color,Theme Image
partner,Kvantify,https://uspto.report/TM/97725089/mark.png,TRUE,,
partner,Norfalk,https://nor-falk.com/wp-content/uploads/2023/12/Icon_NorFalk_Black-300x275.png,,,
partner,Textile Change,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRBmpSGVu4FCVHprkPOyXB6s-2Yutr3bRHuyksu2AutKHvllLDk,,,
partner,Ento,https://thehub-io.imgix.net/files/s3/20230424130915-f1200a70118dca5e1fcba1eb8ab27417.png?fit=crop&w=300&h=300&auto=format&q=60,,,
partner,Pond Bio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn53cRG1Kot-kxnkMJZDuoMnHZG0jWEDQEzQ&s,TRUE,,
partner,Systematic,https://cdn.systematic.com/media/k2ldonbh/sse_logo_white_400x51px.png,TRUE,,
partner,Enode,https://bookface-images.s3.amazonaws.com/logos/9084abbaf369a2b9f253e57ceba4dbb230e38d1a.png,,,
partner,Beyond Work,"https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/vzzfzjdsqbaj32rhr94p",,,
partner,Partisia,https://partisiablockchain.com/wp-content/uploads/2023/09/2.-Partisia-Blockchain-graphic-e1695214517610.png,TRUE,,
partner,Zeiss,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Zeiss_logo.svg/2048px-Zeiss_logo.svg.png,,,
partner,M3E,https://m3e-gmbh.com/images/template/M3e-GmbH_logo.png,,,
partner,HouseTest,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWtiMxq-QHgz8ygeqEgM4JQUEYrFvnEKXc4g&s,,,
partner,daredisrupt,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ-20hkTL7KRuW4V5S16hVYaCtHJLCS1fSSHWbSbto7ANobt9XB,TRUE,,
partner,Greenlab,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS84LUtqbnpLgqCKQT6mTcB6Piniodfq3q0WutFKOVgwS-zIRNl,TRUE,,
partner,Content Avenue,https://contentavenue.com/assets/logo.svg,,,
partner,21st Bio,https://21st.bio/wp-content/uploads/2021/01/21bio_logo_200x200px_neg.png,TRUE,,
partner,Alexandra Institute,https://www.earto.eu/wp-content/uploads/GTS-Alexandra-Institute.png,,,
partner,Cognitive Revolution,https://www.cognitiverevolution.ai/content/images/2024/03/Untitled-design.png,,,
partner,Grundfos,https://strongminds.dk/wp-content/uploads/2018/11/grundfos-logo-e1544515860430.png,TRUE,,
partner,Novo Nordisk,https://pointwork.com/wp-content/uploads/2023/06/NVO_BIG.D-1e40a3a3.png,TRUE,,
partner,Cordulus,https://cdn.prod.website-files.com/63d28ee5f4787a0ad6d05f5b/63dcc0d03f268858343bbddb_Cordulus%20Logo.png,TRUE,,
partner,Draupnir Bio,https://ml-eu.globenewswire.com/Resource/Download/95bb87ed-e268-4fcd-a840-366c5c7e3e2c,,,
partner,neurospace.ai,https://neurospace.io/img/brand/logo.svg,TRUE,,
partner,Trifork,https://cdn.prod.website-files.com/63c7edd0b76bfe63668c00e7/63c7edd0b76bfe22928c01ea_Trifork_logo_RGB.png,,,
partner,SENS INNOVATION,https://www.sens.dk/wp-content/uploads/2021/02/cropped-sens-logo-small.png,,,
partner,RigDev,https://avatars.githubusercontent.com/u/143799880?v=4,TRUE,,
partner,sentispec,https://media.licdn.com/dms/image/D4D0BAQFqVziBje5Kkg/company-logo_200_200/0/1706168963440/sentispec_logo?e=2147483647&v=beta&t=uDDx5AiW02Obu05o6hoj1w_WfP62TTbfNoLhZoyZM7k,,,
partner,Uber,https://upload.wikimedia.org/wikipedia/commons/c/cc/Uber_logo_2018.png,,,
partner,Aura Energy,https://companiesmarketcap.com/img/company-logos/256/AURA.L.png,,,
partner,Bispebjerg Hospital,https://www.regionh.dk/til-fagfolk/Om-Region-H/regionens-design/logo-og-grundelementer/logo-til-print-og-web/PublishingImages/Logo_Bispebjerg_png.png,,,
partner,Cercare,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJPvzjSIcKaKfRRjIq5HN02Ll2DzEciu8jvg&s,,,
partner,Brainbotics,https://www.brainbotics.com/wp-content/uploads/Brainbotics_icon_xs.png,,,
partner,BioGrail,https://biograil.com/wp-content/uploads/2020/02/biograil-logo-pos.png,,,
partner,Emento,https://cdn.prod.website-files.com/63492035405ff764653ea383/663b2eb46b7ad38ae0f68d82_Emento_Logo_CMYK_01%20(1).jpg,,,
partner,Alipes,https://www.alipes.dk/images/logos/logo.desktop.png,TRUE,,
partner,Siana,https://thehub-io.imgix.net/files/s3/20211210081241-1d0b5662ae5c0cbf21175e9c2af49076.png?fit=crop&w=300&h=300&auto=format&q=60,,,
partner,ExOrdo,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTBNEpYqsa-3dH4xhNxCNxDjk8_ldKfZTe51aUNjBO1lqzbfEv,,,
partner,Qvin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3XN0Jj7L7ARW-uLXJ03SNWr4nKX7FugdSffXWH4hD2q5uA23vozqjJXl4BjTb7Ronfwc&usqp=CAU,,,
partner,Biosynex,https://chembio.com/wp-content/uploads/2023/04/Biosynex-Newsroom-1920x1080-1-600x403.png,,,